scenario,scenario_type,scenario_geography,technology,mean,median,min,max,percentile_2.5,percentile_5,percentile_95,percentile_97.5
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,EU,CoalCap,0.7301306239756898,0.7211373195322777,0.7105265723578769,0.7769826308455926,0.711054715255246,0.71157520142351,0.7650864339286066,0.769556794486354
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,EU,CoalCap,0.6251615715988013,0.6456496201959792,0.3723405610034416,0.7903592099490279,0.389539377978044,0.4049922543946942,0.777928045897095,0.7839931873105277
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,CHN,CoalCap,0.8954322071900014,0.8914952411061008,0.8711550986484525,0.9344577226862923,0.87158859818389,0.8720007415939208,0.9288214205265761,0.9315617092244619
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,CHN,CoalCap,0.4939999456653413,0.454406043921753,0.41402483894607806,0.8529447346748095,0.41846868040275126,0.4212982585985562,0.7476810752483751,0.8009051666258393
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,USA,BiomassCap - w/o CCS,1.2981621612399712,1.2494655304356554,1.0172995300084045,1.7126010203292437,1.0277575865175497,1.0381285055993024,1.661184130135409,1.6866315057298984
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,USA,BiomassCap - w/o CCS,3.639660426083755,3.0595218800300494,1.5729271879636457,7.284563308940457,1.587029718662665,1.6045034721471587,6.878973302351377,7.079955986360261
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,RUS,BiomassCap - w/o CCS,1.4450562593582872,1.4678031426847729,1.3312444041702975,1.5461841843083572,1.3336415677436246,1.336044540772194,1.532409170986601,1.5378058910042727
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,RUS,BiomassCap - w/o CCS,3.164231509894503,2.259813707626855,1.6994801939761872,6.459288023509306,1.716919151070639,1.7305052435574737,6.043228945193521,6.2486670635036665
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10ROWO,BiomassCap - w/o CCS,1.2517749460932306,1.2002348173151935,0.9735929953332053,1.7155525709295683,0.9919367561559199,1.0103725169402438,1.6178633791720713,1.6656702554650409
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10ROWO,BiomassCap - w/o CCS,3.865525922713087,2.991176172820004,2.364193221357994,6.884391574201409,2.3691712539364693,2.3954155712506306,6.575737570972169,6.7292255051304295
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REST_ASIA,BiomassCap - w/o CCS,1.0204312923232008,0.9486788623884226,0.6768943904984286,1.4072416058395965,0.6930562907812652,0.7093437482736882,1.3917212745215148,1.3993673227333834
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REST_ASIA,BiomassCap - w/o CCS,2.9730143927796795,2.391045433019584,1.630243286672982,5.074449664915176,1.650822737429067,1.676578098884004,4.92208054260466,4.998247169192508
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REF_ECON,BiomassCap - w/o CCS,1.4052707150611174,1.4610638746043585,1.1696189381190045,1.5317845152618312,1.1831753692331033,1.1967645756771856,1.514776583334529,1.521932099569005
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REF_ECON,BiomassCap - w/o CCS,3.1367220041548767,2.3013067780901326,1.683730795701301,6.444160161788997,1.6995071663584198,1.7153381943235606,6.024710684049976,6.23182288499658
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10PAC_OECD,BiomassCap - w/o CCS,1.1894780201638433,1.195367579110908,1.0148580234365467,1.3045310774380483,1.0312487907378483,1.0477100198758562,1.2858846458493107,1.292892924025598
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10PAC_OECD,BiomassCap - w/o CCS,1.9265188036076626,1.6428784057133663,1.432320016203146,3.09709576855828,1.4323409238097182,1.432428240811389,2.9701489860529344,3.0333170742425524
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10NORTH_AM,BiomassCap - w/o CCS,1.2981621612399712,1.2494655304356554,1.0172995300084045,1.7126010203292437,1.0277575865175497,1.0381285055993024,1.661184130135409,1.6866315057298984
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10NORTH_AM,BiomassCap - w/o CCS,3.639660426083755,3.0595218800300494,1.5729271879636457,7.284563308940457,1.587029718662665,1.6045034721471587,6.878973302351377,7.079955986360261
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10MIDDLE_EAST,BiomassCap - w/o CCS,1.4536516189908897,1.319297352889678,1.0,3.7097262228143424,1.0965322559244757,1.1610188800782764,2.1162191278305897,2.7901053560279996
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10MIDDLE_EAST,BiomassCap - w/o CCS,3.0946859939970173,2.546421371840842,1.4350173629471499,6.002403098006986,1.447134924621001,1.4584532585163337,5.750898989362124,5.876317670003987
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10LATIN_AM,BiomassCap - w/o CCS,1.1042292290437057,1.1497664865124078,0.7713358431169921,1.2863226918016164,0.7953368694395057,0.8194202148756025,1.2784633728728871,1.2817202197645947
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10LATIN_AM,BiomassCap - w/o CCS,2.662449142344055,2.152026606587283,1.8173453347971464,4.419290711524758,1.8176528923547435,1.8257612210271956,4.250321212831051,4.334457176228629
